Date,Open,High,Low,Close,Adj Close,Volume,M_Y_Date
8/13/2014,194.289993,195.059998,193.960007,194.839996,178.085739,69047000,8-2014
8/14/2014,195.160004,195.759995,194.979996,195.759995,178.926605,57371000,8-2014
8/15/2014,196.470001,196.649994,194.309998,195.720001,178.890091,139951000,8-2014
8/18/2014,196.800003,197.449997,196.690002,197.360001,180.389069,75424000,8-2014
8/19/2014,197.839996,198.539993,197.440002,198.389999,181.33049,59135000,8-2014
8/20/2014,198.119995,199.160004,198.080002,198.919998,181.814926,72763000,8-2014
8/21/2014,199.089996,199.759995,198.929993,199.5,182.345032,67791000,8-2014
8/22/2014,199.339996,199.690002,198.740005,199.190002,182.061691,76107000,8-2014
8/25/2014,200.139999,200.589996,199.149994,200.199997,182.984833,63855000,8-2014
8/26/2014,200.330002,200.820007,200.279999,200.330002,183.103683,47298000,8-2014
8/27/2014,200.429993,200.570007,199.940002,200.25,183.030579,47874000,8-2014
8/28/2014,199.589996,200.270004,199.389999,200.139999,182.929993,58330000,8-2014
8/29/2014,200.449997,200.729996,199.820007,200.710007,183.451004,65907000,8-2014
9/2/2014,200.970001,201,199.860001,200.610001,183.359558,72426000,9-2014
9/3/2014,201.380005,201.410004,200.220001,200.5,183.259033,57462000,9-2014
9/4/2014,200.839996,201.580002,199.660004,200.210007,182.993973,85236000,9-2014
9/5/2014,200.169998,201.190002,199.410004,201.110001,183.816574,102177000,9-2014
9/8/2014,200.919998,201.210007,200,200.589996,183.341324,64146000,9-2014
9/9/2014,200.410004,200.550003,198.910004,199.320007,182.180527,88591000,9-2014
9/10/2014,199.429993,200.199997,198.770004,200.070007,182.866043,67251000,9-2014
9/11/2014,199.270004,200.330002,199.119995,200.300003,183.076279,66774400,9-2014
9/12/2014,200.100006,200.119995,198.559998,199.130005,182.006836,117409300,9-2014
9/15/2014,199.160004,199.320007,198.380005,198.979996,181.869736,76401000,9-2014
9/16/2014,198.610001,200.839996,198.5,200.479996,183.240753,116201000,9-2014
9/17/2014,200.770004,201.679993,199.75,200.75,183.487579,151266000,9-2014
9/18/2014,201.360001,201.850006,201.100006,201.820007,184.465546,94990000,9-2014
9/19/2014,201.520004,201.899994,200.289993,200.699997,184.299469,121649000,9-2014
9/22/2014,200.350006,200.380005,198.729996,199.149994,182.876175,125553000,9-2014
9/23/2014,198.429993,199.259995,197.949997,198.009995,181.829315,111393000,9-2014
9/24/2014,198.039993,199.690002,197.520004,199.559998,183.25264,107276000,9-2014
9/25/2014,199.039993,199.050003,196.270004,196.339996,180.295761,150300000,9-2014
9/26/2014,196.699997,198.389999,196.419998,197.899994,181.728317,103547000,9-2014
9/29/2014,196.199997,197.889999,196.050003,197.539993,181.397705,95112000,9-2014
9/30/2014,197.690002,198.300003,196.610001,197.020004,180.920258,131302000,9-2014
10/1/2014,196.699997,196.770004,193.910004,194.350006,178.468414,177798000,10-2014
10/2/2014,194.179993,195.059998,192.350006,194.380005,178.495972,157285000,10-2014
10/3/2014,195.679993,196.940002,195.080002,196.520004,180.46106,121569000,10-2014
10/6/2014,197.339996,197.600006,195.580002,196.289993,180.249847,104778000,10-2014
10/7/2014,195.279999,195.720001,193.220001,193.259995,177.467468,147913000,10-2014
10/8/2014,193.369995,196.919998,192.360001,196.639999,180.571274,186461000,10-2014
10/9/2014,196.330002,196.600006,192.580002,192.740005,176.98999,210705000,10-2014
10/10/2014,192.690002,193.649994,190.490005,190.539993,174.969757,221909000,10-2014
10/13/2014,190.460007,191.149994,187.300003,187.410004,172.09552,230939000,10-2014
10/14/2014,188.419998,189.820007,187.039993,187.699997,172.361786,215847000,10-2014
10/15/2014,185.160004,187.690002,181.919998,186.429993,171.195572,380715000,10-2014
10/16/2014,183.059998,187.580002,182.889999,186.270004,171.048706,270391000,10-2014
10/17/2014,188.419998,189.75,187.619995,188.470001,173.068893,214625000,10-2014
10/20/2014,188.130005,190.449997,188.070007,190.300003,174.749344,130011000,10-2014
10/21/2014,191.679993,194.199997,191.479996,194.070007,178.211273,154949000,10-2014
10/22/2014,194.410004,194.910004,192.610001,192.690002,176.944031,151822000,10-2014
10/23/2014,194.619995,196.199997,194.259995,194.929993,179.001007,154944000,10-2014
10/24/2014,195.25,196.490005,194.490005,196.429993,180.378433,117927000,10-2014
10/27/2014,195.729996,196.449997,195.029999,196.160004,180.130493,82954000,10-2014
10/28/2014,196.820007,198.419998,196.729996,198.410004,182.196655,106736000,10-2014
10/29/2014,198.550003,199.119995,196.800003,198.110001,181.921143,142557000,10-2014
10/30/2014,197.580002,199.949997,197.399994,199.380005,183.087341,113330000,10-2014
10/31/2014,201.779999,201.820007,200.770004,201.660004,185.181076,146903000,10-2014
11/3/2014,201.919998,202.449997,201.309998,201.770004,185.282074,93600000,11-2014
11/4/2014,201.229996,201.600006,200.059998,201.070007,184.639297,93343000,11-2014
11/5/2014,202.539993,202.589996,201.449997,202.339996,185.805511,91709000,11-2014
11/6/2014,202.389999,203.259995,201.639999,203.149994,186.549286,107089000,11-2014
11/7/2014,203.169998,203.600006,202.610001,203.339996,186.72377,89540000,11-2014
11/10/2014,203.380005,204.039993,203.130005,203.979996,187.311462,66319000,11-2014
11/11/2014,204.059998,204.309998,203.649994,204.179993,187.495117,54499400,11-2014
11/12/2014,203.350006,204.240005,203.309998,203.960007,187.293091,90120300,11-2014
11/13/2014,204.160004,204.830002,203.210007,204.190002,187.504318,85357900,11-2014
